stop_id,stop_name,stop_lat,stop_lon
8503000,Zürich HB,47.378177,8.540192
8507000,Bern,46.948825,7.439122
8501008,Genève,46.210307,6.142456
8500010,Basel SBB,47.547408,7.589548
8501120,Lausanne,46.516968,6.635093
8506302,St. Gallen,47.423317,9.37044
8505213,Winterthur,47.501678,8.724224
8500218,Olten,47.350279,7.909717
8505000,Luzern,47.050166,8.310171
8507100,Thun,46.758636,7.628456
8508500,Interlaken Ost,46.686826,7.871166
8501609,Montreux,46.431506,6.910768
8504100,Neuchâtel,47.000847,6.931281
8509000,Chur,46.85237,9.526918
8505300,Lugano,46.004421,8.946233
8501600,Sion,46.228411,7.361772
8503006,Zürich Flughafen,47.450017,8.562778
8500026,Basel Bad Bf,47.56276,7.60527
8501026,Genève-Aéroport,46.237836,6.108916
8505006,Luzern Verkehrshaus,47.05859,8.33190
8507785,Kandersteg,46.492289,7.669378
8508010,Gstaad,46.474722,7.284444
8506000,Baden,47.479406,8.304928
8505113,Aarau,47.391156,8.043647
8501605,Martigny,46.102236,7.076083
8500020,Liestal,47.483889,7.742222
8505004,Kriens,47.039722,8.278611
8503020,Zürich Altstetten,47.391694,8.488472
8507050,Spiez,46.685556,7.687222
8502000,Fribourg/Freiburg,46.802778,7.161111
8502204,Yverdon-les-Bains,46.778889,6.641111
8506100,Schaffhausen,47.697222,8.634167
8503011,Zürich Oerlikon,47.405556,8.543611
8503016,Zürich Stadelhofen,47.366389,8.548056
8500213,Rheinfelden,47.551944,7.790833
8501000,Aigle,46.317222,6.967500
8504200,Le Locle,47.056944,6.751389
8504300,La Chaux-de-Fonds,47.101111,6.825833
8508400,Zweisimmen,46.551111,7.374444
8500012,Muttenz,47.524167,7.645278
8503504,Rapperswil,47.226111,8.816667
8502113,Murten/Morat,46.927222,7.116667
8505220,Wil SG,47.461944,9.045278
8508200,Visp,46.293889,7.881944
8508007,Zermatt,45.977778,7.752222
8509100,Davos Platz,46.798889,9.823889
8500320,Rorschach,47.467222,9.495833
8503307,Thalwil,47.290556,8.563056
8503059,Dietikon,47.401111,8.401111
8503001,Zürich Hardbrücke,47.382500,8.516944
8501100,Vevey,46.461389,6.842222
8501613,Sierre/Siders,46.291944,7.535556
8503309,Horgen,47.253889,8.598889
8503088,Zug,47.171667,8.515278
8502011,Biel/Bienne,47.134444,7.245556
8505104,Brugg AG,47.483889,8.208333
8507080,Münsingen,46.874722,7.557778
8507085,Wichtrach,46.847222,7.576667
8503203,Pfäffikon SZ,47.207222,8.789167
8506121,Gossau SG,47.416944,9.258333
8509002,Landquart,46.965278,9.555556
8509004,Bad Ragaz,47.007778,9.503333
8509006,Sargans,47.049167,9.440833
8505702,Arth-Goldau,47.048611,8.545000
8505706,Schwyz,47.015833,8.648889
8505708,Brunnen,46.993333,8.606111
8505720,Flüelen,46.905833,8.625556
8505126,Lenzburg,47.388889,8.173889
8505300,Bellinzona,46.195833,9.024722
8505308,Locarno,46.168889,8.795000
8500011,Pratteln,47.517778,7.691389
8500015,Frick,47.506944,8.022222
8502007,Burgdorf,47.055833,7.628889
8502008,Langenthal,47.215000,7.791667
8502010,Herzogenbuchsee,47.188611,7.704167
8501119,Morges,46.506111,6.496111
8501113,Nyon,46.382778,6.238333
8501116,Rolle,46.458889,6.336667
8500300,Brig,46.316944,7.985556
8505502,Erstfeld,46.820556,8.650278
8505506,Göschenen,46.665000,8.588889
8505510,Airolo,46.528889,8.610556
8505520,Biasca,46.356111,8.969167
8503100,Wädenswil,47.220833,8.679444
8503102,Richterswil,47.206111,8.698333
8503110,Lachen,47.193889,8.857222
8507051,Wimmis,46.678333,7.641667
8507055,Reichenbach im Kandertal,46.624722,7.679167
8502205,Payerne,46.821944,6.935556
8502208,Avenches,46.882778,7.041667
8504107,Boudry,46.952500,6.839167
8504103,Auvernier,46.978611,6.879722
8508501,Interlaken West,46.682500,7.848333
8508503,Wilderswil,46.661944,7.864444
8508505,Lauterbrunnen,46.593333,7.908333
8508507,Grindelwald,46.624167,8.034722
8503090,Thalwil,47.290833,8.563611
8503091,Rüschlikon,47.304722,8.549722
8503092,Kilchberg ZH,47.322222,8.544167
8506305,Winkeln,47.405278,9.330000
8506308,Herisau,47.386944,9.279722
8506310,Urnäsch,47.321111,9.279444
8506312,Appenzell,47.330000,9.410833
8501601,Leuk,46.312778,7.634167
8501603,Turtmann,46.302778,7.710000
8503500,Uster,47.347222,8.716667
8503502,Wetzikon,47.325278,8.798611
8506125,Uzwil,47.437222,9.135278
8506130,Flawil,47.414722,9.187500
8505401,Rotkreuz,47.140278,8.430556
8505403,Immensee,47.096111,8.469167
8505405,Küssnacht am Rigi,47.085000,8.443611
8505218,Frauenfeld,47.555278,8.896667
8506103,Neuhausen am Rheinfall,47.680556,8.612500
8506105,Dachsen,47.665833,8.619167
8509101,Davos Dorf,46.805833,9.848056
8509103,Klosters Platz,46.867778,9.880833
8509105,Küblis,46.912500,9.768889
8509010,Filisur,46.674167,9.689722
8509012,Tiefencastel,46.660278,9.578333
8509014,Thusis,46.698889,9.437778
8506200,Romanshorn,47.565278,9.378889
8506202,Arbon,47.516389,9.431389
8506204,Kreuzlingen,47.650000,9.176667
8506206,Konstanz,47.658889,9.175556
